GROUP_DATE,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE
2017/09/27,4453,4.273972602739726
2017/09/28,4077,4.344616139318126
2017/09/29,4104,4.293615984405458
2017/09/30,3863,4.186642505824489
2017/10/01,3886,4.227483273288729
2017/10/02,4083,4.25618417830027
2017/10/03,3973,4.354140448024163
2017/10/04,4190,4.325775656324582
2017/10/05,4257,4.268029128494245
2017/10/06,4344,4.298112338858195
2017/10/07,4266,4.2878574777308955
2017/10/08,3934,4.240213523131673
2017/10/09,3880,4.280927835051546
2017/10/10,4472,4.3658318425760285
2017/10/11,4079,4.343956852169649
2017/10/12,4031,4.369635326221781
2017/10/13,4027,4.330270672957536
2017/10/14,4031,4.227486975936492
2017/10/15,3945,4.213434727503168
2017/10/16,4117,4.355598736944377
2017/10/17,3896,4.2902977412731005
2017/10/18,4170,4.2745803357314145
2017/10/19,4244,4.238925541941565
2017/10/20,4206,4.2620066571564434
2017/10/21,3949,4.249177006837174
2017/10/22,3909,4.249936045024303
2017/10/23,4296,4.321927374301676
2017/10/24,3995,4.356695869837297
2017/10/25,4034,4.337878036688151
2017/10/26,3904,4.386526639344262
2017/10/27,4114,4.295333009236753
2017/10/28,4029,4.234053114916853
2017/10/29,3901,4.256344527044347
2017/10/30,3983,4.264624654782827
2017/10/31,3883,4.335565284573783
2017/11/01,4100,4.285853658536586
2017/11/02,4489,4.256850077968367
2017/11/03,4532,4.287069726390115
2017/11/04,3831,4.243800574262595
2017/11/05,4084,4.224534769833497
2017/11/06,4305,4.302439024390244
2017/11/07,3697,4.336489045171761
2017/11/08,3915,4.2914431673052365
2017/11/09,4011,4.31563201196709
2017/11/10,3833,4.273154187320636
2017/11/11,3792,4.2215189873417724
2017/11/12,3613,4.287849432604483
2017/11/13,4023,4.306239125031071
2017/11/14,3912,4.32719836400818
2017/11/15,3973,4.30103196576894
2017/11/16,4066,4.327102803738318
2017/11/17,3985,4.261731493099122
2017/11/18,3900,4.266410256410256
2017/11/19,3671,4.173522201035141
2017/11/20,4045,4.291223733003708
2017/11/21,3922,4.271290158082611
2017/11/22,4057,4.3433571604633965
2017/11/23,3383,4.1708542713567835
2017/11/24,3896,4.252053388090349
2017/11/25,3844,4.196409989594173
2017/11/26,3520,4.2355113636363635
2017/11/27,4281,4.3032001868722265
2017/11/28,4036,4.314667988107037
2017/11/29,4132,4.310745401742498
2017/11/30,4052,4.279368213228036
2017/12/01,4353,4.270158511371468
2017/12/02,3957,4.179428860247662
2017/12/03,3824,4.140167364016737
2017/12/04,4340,4.234101382488479
2017/12/05,4213,4.336339900308569
2017/12/06,4124,4.332201745877788
2017/12/07,4096,4.302978515625
2017/12/08,4124,4.25266731328807
2017/12/09,3786,4.275224511357633
2017/12/10,3778,4.25436739015352
2017/12/11,4296,4.296787709497207
2017/12/12,4143,4.252474052618875
2017/12/13,3919,4.321255422301608
2017/12/14,4080,4.262745098039216
2017/12/15,4503,4.244947812569398
2017/12/16,3890,4.205141388174807
2017/12/17,3828,4.1802507836990594
2017/12/18,4340,4.257834101382488
2017/12/19,4155,4.3143200962695545
2017/12/20,4026,4.256582215598609
2017/12/21,4097,4.235294117647059
2017/12/22,4379,4.191596254852706
2017/12/23,3920,4.233418367346939
2017/12/24,3592,4.1940423162583516
2017/12/25,3401,4.179064980887974
2017/12/26,3814,4.2566858940744625
2017/12/27,3944,4.2520283975659225
2017/12/28,3928,4.280040733197556
2017/12/29,4011,4.270256793817003
2017/12/30,4021,4.196468540164139
2017/12/31,3734,4.265399035886449
2018/01/01,4653,4.137975499677627
2018/01/02,4242,4.166666666666667
2018/01/03,4602,4.228161668839635
2018/01/04,4000,4.252
2018/01/05,4873,4.352349681920788
2018/01/06,4427,4.264513214366388
2018/01/07,4045,4.204202719406675
2018/01/08,4666,4.264894984997857
2018/01/09,4622,4.233448723496322
2018/01/10,4610,4.259002169197397
2018/01/11,4630,4.2539956803455725
2018/01/12,4775,4.227225130890052
2018/01/13,4108,4.233690360272639
2018/01/14,3741,4.209035017375033
2018/01/15,3932,4.2576297049847405
2018/01/16,4379,4.261018497373829
2018/01/17,3978,4.344142785319256
2018/01/18,4193,4.253517767708085
2018/01/19,4188,4.226838586437441
2018/01/20,4161,4.220620043258832
2018/01/21,3976,4.260814889336016
2018/01/22,4526,4.279275298276624
2018/01/23,4289,4.28374912567032
2018/01/24,4202,4.287482151356497
2018/01/25,4051,4.253517649962972
2018/01/26,4262,4.2595025809479115
2018/01/27,4091,4.241750183329259
2018/01/28,3851,4.218125162295507
2018/01/29,4177,4.299497246827867
2018/01/30,4227,4.343979181452567
2018/01/31,4129,4.300557035601841
2018/02/01,4274,4.227187646233037
2018/02/02,4345,4.245339470655926
2018/02/03,4028,4.249006951340616
2018/02/04,4063,4.181885306423824
2018/02/05,4553,4.215901603338458
2018/02/06,4286,4.318712085860943
2018/02/07,4165,4.263865546218487
2018/02/08,4405,4.261293984108967
2018/02/09,4434,4.2686062246278755
2018/02/10,4264,4.164399624765478
2018/02/11,4049,4.192640158063719
2018/02/12,4521,4.257243972572439
2018/02/13,4414,4.2951971001359315
2018/02/14,4448,4.237634892086331
2018/02/15,4558,4.270732777534006
2018/02/16,4455,4.279012345679012
2018/02/17,3976,4.331237424547283
2018/02/18,3777,4.311887741593858
2018/02/19,3765,4.2629482071713145
2018/02/20,4320,4.2689814814814815
2018/02/21,4325,4.227745664739884
2018/02/22,4031,4.304887124782932
2018/02/23,3885,4.234491634491635
2018/02/24,3806,4.214135575407251
2018/02/25,3514,4.240751280591918
2018/02/26,4156,4.276948989412897
2018/02/27,3944,4.282707910750507
2018/02/28,4064,4.264763779527559
2018/03/01,4156,4.288017324350337
2018/03/02,3956,4.265166835187058
2018/03/03,3720,4.256989247311828
2018/03/04,3708,4.165857605177994
2018/03/05,3984,4.296686746987952
2018/03/06,4092,4.282258064516129
2018/03/07,3577,4.378529493989377
2018/03/08,4116,4.320213799805637
2018/03/09,4174,4.285098227120268
2018/03/10,3821,4.263805286574195
2018/03/11,3549,4.228233305156382
2018/03/12,4135,4.289721886336155
2018/03/13,3796,4.368018967334036
2018/03/14,4031,4.2473331679484
2018/03/15,4063,4.333743539256707
2018/03/16,4085,4.286658506731946
2018/03/17,3883,4.231006953386557
2018/03/18,3650,4.2
2018/03/19,4183,4.2854410710016735
2018/03/20,3974,4.296930045294413
2018/03/21,3312,4.358695652173913
2018/03/22,4064,4.339812992125984
2018/03/23,4347,4.293305728088336
2018/03/24,3925,4.251210191082802
2018/03/25,3749,4.282475326753801
2018/03/26,4173,4.304337407141145
2018/03/27,4078,4.354830799411476
2018/03/28,4084,4.381488736532811
2018/03/29,4079,4.322137778867369
2018/03/30,3985,4.288080301129234
2018/03/31,3936,4.157774390243903
2018/04/01,3677,4.138700027196084
2018/04/02,3757,4.288794250731967
2018/04/03,3910,4.309462915601023
2018/04/04,3960,4.268686868686869
2018/04/05,3957,4.282537275713925
2018/04/06,3951,4.253353581371805
2018/04/07,3901,4.208664445014099
2018/04/08,3595,4.176912378303199
2018/04/09,3946,4.272427774961987
2018/04/10,3961,4.281747033577379
2018/04/11,3917,4.289762573398009
2018/04/12,4111,4.310386767209924
2018/04/13,4539,4.242344128662701
2018/04/14,4431,4.247799593771158
2018/04/15,3667,4.244068721025362
2018/04/16,4097,4.265560165975104
2018/04/17,3988,4.301654964894684
2018/04/18,4140,4.28743961352657
2018/04/19,4029,4.311243484735666
2018/04/20,4063,4.331282303716466
2018/04/21,4055,4.186683107274969
2018/04/22,3950,4.22379746835443
2018/04/23,4345,4.304948216340621
2018/04/24,4254,4.32698636577339
2018/04/25,3974,4.349773527931555
2018/04/26,4307,4.271650801021592
2018/04/27,4141,4.332045399661918
2018/04/28,4080,4.247303921568627
2018/04/29,3810,4.202887139107611
2018/04/30,4082,4.245222929936306
2018/05/01,4273,4.229815118183946
2018/05/02,4705,4.251434643995749
2018/05/03,4887,4.239615305913649
2018/05/04,4868,4.330936729663106
2018/05/05,4402,4.217855520218083
2018/05/06,4203,4.282179395669759
2018/05/07,4594,4.329560296038311
2018/05/08,4397,4.2917898567204915
2018/05/09,4321,4.327933348761861
2018/05/10,4286,4.292580494633691
2018/05/11,4597,4.233413095497063
2018/05/12,3934,4.210472801220132
2018/05/13,3746,4.210357714895889
2018/05/14,4218,4.2368421052631575
2018/05/15,4533,4.313037723362012
2018/05/16,4197,4.409340004765308
2018/05/17,4393,4.308672888686547
2018/05/18,4343,4.331568040524982
2018/05/19,3919,4.2171472314365905
2018/05/20,4470,4.191275167785235
2018/05/21,4627,4.299762264966501
2018/05/22,4217,4.276499881432298
2018/05/23,4589,4.284375680976248
2018/05/24,4534,4.32399647110719
2018/05/25,4797,4.28872211799041
2018/05/26,4643,4.175748438509585
2018/05/27,3853,4.315079159096808
2018/05/28,3716,4.32508073196986
2018/05/29,4799,4.258803917482809
